organism,scientific_name,lat,lon,year,locality,county,elev_m,gbifID,basisOfRecord,source_name,source_url
American pika,Ochotona princeps,40.156845,-105.621338,2025,,,,5938268824,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5938268824
American pika,Ochotona princeps,37.832105,-107.901468,2025,,,,5938609082,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5938609082
American pika,Ochotona princeps,40.161197,-105.586555,2025,,,,5215897623,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5215897623
American pika,Ochotona princeps,40.39587,-105.713662,2025,,,,5215910485,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5215910485
American pika,Ochotona princeps,40.41214,-105.733177,2025,,,,5216209279,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5216209279
American pika,Ochotona princeps,40.442125,-105.754011,2025,,,,5216230571,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5216230571
American pika,Ochotona princeps,39.604347,-105.734062,2025,,,,5217030035,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5217030035
American pika,Ochotona princeps,39.677983,-105.858075,2025,,,,5217100081,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5217100081
American pika,Ochotona princeps,40.069103,-105.609262,2025,,,,5217538019,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5217538019
American pika,Ochotona princeps,39.659018,-105.891928,2025,,,,5229983206,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5229983206
American pika,Ochotona princeps,40.410617,-105.730691,2025,,,,5230060735,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230060735
American pika,Ochotona princeps,40.395858,-105.713647,2025,,,,5230075826,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230075826
American pika,Ochotona princeps,40.395645,-105.712753,2025,,,,5230161861,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230161861
American pika,Ochotona princeps,39.942867,-105.6838,2025,,,,5230171101,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230171101
American pika,Ochotona princeps,40.427331,-105.758455,2025,,,,5230229472,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230229472
American pika,Ochotona princeps,40.288602,-105.678298,2025,,,,5230265211,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230265211
American pika,Ochotona princeps,39.642289,-105.81022,2025,,,,5230298214,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230298214
American pika,Ochotona princeps,38.883103,-106.941247,2025,,,,5230491939,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230491939
American pika,Ochotona princeps,39.58245,-105.668992,2025,,,,5230511080,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230511080
American pika,Ochotona princeps,40.427624,-105.758916,2025,,,,5230564444,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230564444
American pika,Ochotona princeps,38.827845,-106.409216,2025,,,,5230587388,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230587388
American pika,Ochotona princeps,40.39585,-105.713735,2025,,,,5230592562,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5230592562
